period,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription,generation,generation-units
2016-01,CA,California,2,IPP Non-CHP,SUN,solar,692.39246,thousand megawatthours
2016-02,CA,California,2,IPP Non-CHP,SUN,solar,1156.15726,thousand megawatthours
2016-03,CA,California,2,IPP Non-CHP,SUN,solar,1273.40501,thousand megawatthours
2016-04,CA,California,2,IPP Non-CHP,SUN,solar,1495.41126,thousand megawatthours
2016-05,CA,California,2,IPP Non-CHP,SUN,solar,1862.39721,thousand megawatthours
2016-06,CA,California,2,IPP Non-CHP,SUN,solar,1791.34272,thousand megawatthours
2016-07,CA,California,2,IPP Non-CHP,SUN,solar,2097.37898,thousand megawatthours
2016-08,CA,California,2,IPP Non-CHP,SUN,solar,2076.63759,thousand megawatthours
2016-09,CA,California,2,IPP Non-CHP,SUN,solar,1851.01235,thousand megawatthours
2016-10,CA,California,2,IPP Non-CHP,SUN,solar,1557.83314,thousand megawatthours
2016-11,CA,California,2,IPP Non-CHP,SUN,solar,1345.30447,thousand megawatthours
2016-12,CA,California,2,IPP Non-CHP,SUN,solar,1007.42507,thousand megawatthours
2017-01,CA,California,2,IPP Non-CHP,SUN,solar,948.43089,thousand megawatthours
2017-02,CA,California,2,IPP Non-CHP,SUN,solar,1060.17638,thousand megawatthours
2017-03,CA,California,2,IPP Non-CHP,SUN,solar,1985.0657,thousand megawatthours
2017-04,CA,California,2,IPP Non-CHP,SUN,solar,2104.07347,thousand megawatthours
2017-05,CA,California,2,IPP Non-CHP,SUN,solar,2659.60088,thousand megawatthours
2017-06,CA,California,2,IPP Non-CHP,SUN,solar,2896.73661,thousand megawatthours
2017-07,CA,California,2,IPP Non-CHP,SUN,solar,2646.47536,thousand megawatthours
2017-08,CA,California,2,IPP Non-CHP,SUN,solar,2448.01864,thousand megawatthours
2017-09,CA,California,2,IPP Non-CHP,SUN,solar,2287.28913,thousand megawatthours
2017-10,CA,California,2,IPP Non-CHP,SUN,solar,2109.81629,thousand megawatthours
2017-11,CA,California,2,IPP Non-CHP,SUN,solar,1300.93459,thousand megawatthours
2017-12,CA,California,2,IPP Non-CHP,SUN,solar,1298.45111,thousand megawatthours
2018-01,CA,California,2,IPP Non-CHP,SUN,solar,1210.62666,thousand megawatthours
2018-02,CA,California,2,IPP Non-CHP,SUN,solar,1705.84431,thousand megawatthours
2018-03,CA,California,2,IPP Non-CHP,SUN,solar,1953.93433,thousand megawatthours
2018-04,CA,California,2,IPP Non-CHP,SUN,solar,2445.55998,thousand megawatthours
2018-05,CA,California,2,IPP Non-CHP,SUN,solar,2946.42013,thousand megawatthours
2018-06,CA,California,2,IPP Non-CHP,SUN,solar,3168.78406,thousand megawatthours
2018-07,CA,California,2,IPP Non-CHP,SUN,solar,2741.55072,thousand megawatthours
2018-08,CA,California,2,IPP Non-CHP,SUN,solar,2762.92997,thousand megawatthours
2018-09,CA,California,2,IPP Non-CHP,SUN,solar,2619.16618,thousand megawatthours
2018-10,CA,California,2,IPP Non-CHP,SUN,solar,2068.53902,thousand megawatthours
2018-11,CA,California,2,IPP Non-CHP,SUN,solar,1467.51639,thousand megawatthours
2018-12,CA,California,2,IPP Non-CHP,SUN,solar,1202.08925,thousand megawatthours
2019-01,CA,California,2,IPP Non-CHP,SUN,solar,1233.85187,thousand megawatthours
2019-02,CA,California,2,IPP Non-CHP,SUN,solar,1456.41785,thousand megawatthours
2019-03,CA,California,2,IPP Non-CHP,SUN,solar,2211.56294,thousand megawatthours
2019-04,CA,California,2,IPP Non-CHP,SUN,solar,2565.31111,thousand megawatthours
2019-05,CA,California,2,IPP Non-CHP,SUN,solar,2672.22913,thousand megawatthours
2019-06,CA,California,2,IPP Non-CHP,SUN,solar,3260.33935,thousand megawatthours
2019-07,CA,California,2,IPP Non-CHP,SUN,solar,3286.6197,thousand megawatthours
2019-08,CA,California,2,IPP Non-CHP,SUN,solar,3232.54674,thousand megawatthours
2019-09,CA,California,2,IPP Non-CHP,SUN,solar,2660.64831,thousand megawatthours
