period,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription,generation,generation-units
2010-01,NY,New York,2,IPP Non-CHP,WND,wind,230.22497,thousand megawatthours
2010-02,NY,New York,2,IPP Non-CHP,WND,wind,206.30424,thousand megawatthours
2010-03,NY,New York,2,IPP Non-CHP,WND,wind,237.98972,thousand megawatthours
2010-04,NY,New York,2,IPP Non-CHP,WND,wind,236.079,thousand megawatthours
2010-05,NY,New York,2,IPP Non-CHP,WND,wind,195.61799,thousand megawatthours
2010-06,NY,New York,2,IPP Non-CHP,WND,wind,172.67988,thousand megawatthours
2010-07,NY,New York,2,IPP Non-CHP,WND,wind,157.41994,thousand megawatthours
2010-08,NY,New York,2,IPP Non-CHP,WND,wind,157.1688,thousand megawatthours
2010-09,NY,New York,2,IPP Non-CHP,WND,wind,234.73438,thousand megawatthours
2010-10,NY,New York,2,IPP Non-CHP,WND,wind,255.27241,thousand megawatthours
2010-11,NY,New York,2,IPP Non-CHP,WND,wind,257.41098,thousand megawatthours
2010-12,NY,New York,2,IPP Non-CHP,WND,wind,255.25168,thousand megawatthours
2011-01,NY,New York,2,IPP Non-CHP,WND,wind,178.43353,thousand megawatthours
2011-02,NY,New York,2,IPP Non-CHP,WND,wind,325.60029,thousand megawatthours
2011-03,NY,New York,2,IPP Non-CHP,WND,wind,311.72237,thousand megawatthours
2011-04,NY,New York,2,IPP Non-CHP,WND,wind,325.08545,thousand megawatthours
2011-05,NY,New York,2,IPP Non-CHP,WND,wind,187.05284,thousand megawatthours
2011-06,NY,New York,2,IPP Non-CHP,WND,wind,172.58491,thousand megawatthours
2011-07,NY,New York,2,IPP Non-CHP,WND,wind,145.64876,thousand megawatthours
2011-08,NY,New York,2,IPP Non-CHP,WND,wind,155.50114,thousand megawatthours
2011-09,NY,New York,2,IPP Non-CHP,WND,wind,150.73859,thousand megawatthours
2011-10,NY,New York,2,IPP Non-CHP,WND,wind,241.54088,thousand megawatthours
2011-11,NY,New York,2,IPP Non-CHP,WND,wind,330.37311,thousand megawatthours
2011-12,NY,New York,2,IPP Non-CHP,WND,wind,303.78713,thousand megawatthours
2012-01,NY,New York,2,IPP Non-CHP,WND,wind,393.32338,thousand megawatthours
2012-02,NY,New York,2,IPP Non-CHP,WND,wind,307.38311,thousand megawatthours
2012-03,NY,New York,2,IPP Non-CHP,WND,wind,320.82247,thousand megawatthours
2012-04,NY,New York,2,IPP Non-CHP,WND,wind,273.76699,thousand megawatthours
2012-05,NY,New York,2,IPP Non-CHP,WND,wind,167.39503,thousand megawatthours
2012-06,NY,New York,2,IPP Non-CHP,WND,wind,205.6816,thousand megawatthours
2012-07,NY,New York,2,IPP Non-CHP,WND,wind,122.65662,thousand megawatthours
2012-08,NY,New York,2,IPP Non-CHP,WND,wind,148.69675,thousand megawatthours
2012-09,NY,New York,2,IPP Non-CHP,WND,wind,184.15136,thousand megawatthours
2012-10,NY,New York,2,IPP Non-CHP,WND,wind,270.56865,thousand megawatthours
2012-11,NY,New York,2,IPP Non-CHP,WND,wind,241.82161,thousand megawatthours
2012-12,NY,New York,2,IPP Non-CHP,WND,wind,351.61691,thousand megawatthours
2013-01,NY,New York,2,IPP Non-CHP,WND,wind,421.53104,thousand megawatthours
2013-02,NY,New York,2,IPP Non-CHP,WND,wind,289.98754,thousand megawatthours
2013-03,NY,New York,2,IPP Non-CHP,WND,wind,311.71188,thousand megawatthours
2013-04,NY,New York,2,IPP Non-CHP,WND,wind,403.94276,thousand megawatthours
2013-05,NY,New York,2,IPP Non-CHP,WND,wind,279.27693,thousand megawatthours
2013-06,NY,New York,2,IPP Non-CHP,WND,wind,206.6052,thousand megawatthours
2013-07,NY,New York,2,IPP Non-CHP,WND,wind,145.02884,thousand megawatthours
2013-08,NY,New York,2,IPP Non-CHP,WND,wind,180.27572,thousand megawatthours
2013-09,NY,New York,2,IPP Non-CHP,WND,wind,204.54126,thousand megawatthours
2013-10,NY,New York,2,IPP Non-CHP,WND,wind,299.11314,thousand megawatthours
2013-11,NY,New York,2,IPP Non-CHP,WND,wind,444.42015,thousand megawatthours
2013-12,NY,New York,2,IPP Non-CHP,WND,wind,349.39254,thousand megawatthours
2014-01,NY,New York,2,IPP Non-CHP,WND,wind,455.98746,thousand megawatthours
2014-02,NY,New York,2,IPP Non-CHP,WND,wind,368.20612,thousand megawatthours
2014-03,NY,New York,2,IPP Non-CHP,WND,wind,398.79785,thousand megawatthours
2014-04,NY,New York,2,IPP Non-CHP,WND,wind,442.82727,thousand megawatthours
